MERK,TYPE,ACTIVITY,Fuel Tank Cap. L, Average , Low , Mid , High 
HITACHI,"EXCAVATOR, HITACHI, ZX470LC-5G",LOADING,,  32 ,  26 ,  32 ,  38 
HITACHI,EX1200-6C,LOADING,,  70 ,  56 ,  70 ,  84 
HITACHI,EX1900-6,LOADING,,  100 ,  80 ,  100 ,  119 
HITACHI,EX2500-5,LOADING,,  125 ,  100 ,  125 ,  150 
HITACHI,EX2500-6,LOADING,,  125 ,  100 ,  125 ,  150 
HITACHI,EX2600-6,LOADING,,  187 ,  145 ,  187 ,  230 
HITACHI,ZX 470 LC-5G,LOADING,,  28 ,  22 ,  28 ,  33 
HITACHI,"EXCAVATOR,  HITACHI, ZX470LC-5G, 40T",LOADING,,  35 ,  28 ,  35 ,  42 
HITACHI,"EXCAVATOR,  HITACHI, ZX490LC-7G",LOADING,,  35 ,  28 ,  35 ,  42 
HITACHI,"EXCAVATOR, HITACHI, ZX470LC-5G",LOADING,,  35 ,  28 ,  35 ,  42 
HITACHI,"EXCAVATOR, HITACHI, ZX470LC-5G, 40T",LOADING,,  35 ,  28 ,  35 ,  42 
HITACHI,ZX 470 LC-5G,LOADING,,  35 ,  28 ,  35 ,  42 
HITACHI,ZX210F-5G,LOADING,,  10 ,  8 ,  10 ,  12 
HITACHI,"EXCAVATOR, BACKHOE, HITACHI, ZX350H-7G,",SUPPORT,,  25 ,  20 ,  25 ,  30 
HITACHI,"EXCAVATOR, HITACHI, ZX350H-5G, 30T",SUPPORT,,  25 ,  20 ,  25 ,  30 
HITACHI,"EXCAVATOR, HITACHI, ZX350H-5G, 30T (77EX0112)",SUPPORT,,  25 ,  20 ,  25 ,  30 
HITACHI,"EXCAVATOR, HITACHI, ZX350H-5G, 30T (77EX0113)",SUPPORT,,  25 ,  20 ,  25 ,  30 
HITACHI,"EXCAVATOR, HITACHI, ZX350H-5G, 30T (77EX0114)",SUPPORT,,  25 ,  20 ,  25 ,  30 
HITACHI,"EXCAVATOR, HITACHI, ZX350H-5G, 30T (77EX0115)",SUPPORT,,  25 ,  20 ,  25 ,  30 
HITACHI,"EXCAVATOR, HITACHI, ZX350H-5G, 30T (77EX0116)",SUPPORT,,  25 ,  20 ,  25 ,  30 
Hitachi,ZX-470-LC,LOADING,,  27 ,  17 ,  27 ,  34 
Hitachi,ZX-490-LC,LOADING,,  28 ,  19 ,  28 ,  36 
Hitachi,ZX-350,LOADING,,  25 ,  20 ,  25 ,  30 
